Year,st,State,Atkin05,Gini,RMeanDev,Theil
1921,15,Indiana,0.118355177,0.349413186,0.47796914,0.300453395
1921,16,Iowa,0.09525343,0.322968096,0.44970578,0.235175997
1921,17,Kansas,0.116791062,0.35802722,0.488027424,0.263748199
1921,18,Kentucky,0.13748689,0.389269352,0.540626705,0.338774711
1921,19,Louisiana,0.130858317,0.378880531,0.523995876,0.325800121
1921,20,Maine,0.149134323,0.393801987,0.553837299,0.412347376
1921,21,Maryland,0.177072704,0.444134593,0.633817255,0.462012917
1921,22,Massachusetts,0.185275659,0.441925615,0.629330516,0.515335262
1921,23,Michigan,0.166472465,0.411264092,0.574499309,0.487125963
1921,24,Minnesota,0.136346608,0.378427923,0.520300031,0.361240387
1921,25,Mississippi,0.13644959,0.4073385,0.540747762,0.312381238
1921,26,Missouri,0.148841307,0.395468056,0.561636686,0.392462552
1921,27,Montana,0.090676889,0.308190972,0.402406275,0.20508562
1921,28,Nebraska,0.127765134,0.374621212,0.511826396,0.298029959
1921,29,Nevada,0.089350984,0.309753776,0.41748935,0.205395713
1921,30,New Hampshire,0.139428943,0.380125076,0.534174442,0.349615872
1921,31,New Jersey,0.167509153,0.422590673,0.600074351,0.453622431
1921,32,New Mexico,0.088457651,0.308202386,0.412736088,0.20161587
1921,33,New York,0.217177749,0.476017147,0.697539747,0.643693984
1921,34,North Carolina,0.141905203,0.379861563,0.535840571,0.385589153
1921,35,North Dakota,0.088958107,0.313823581,0.420650601,0.193534136
1921,36,Ohio,0.154493913,0.399552345,0.56534642,0.421725631
1921,37,Oklahoma,0.118538871,0.352839351,0.480694056,0.290408939
1921,38,Oregon,0.137981519,0.372808307,0.509278357,0.379132897
1921,39,Pennsylvania,0.169632718,0.414112538,0.593119383,0.491771311
1921,40,Rhode Island,0.218781114,0.472835541,0.691534936,0.659250021
1921,41,South Carolina,0.111710213,0.347172648,0.464957803,0.271330297
1921,42,South Dakota,0.105837502,0.352025926,0.470306456,0.227432236
1921,43,Tennessee,0.140674725,0.396943539,0.546262503,0.342869639
1921,44,Texas,0.120651491,0.357056886,0.478583008,0.295535088
1921,45,Utah,0.102656893,0.333749056,0.454995126,0.237898633
1921,46,Vermont,0.143967509,0.395134389,0.549035788,0.369268239
1921,47,Virginia,0.121082582,0.36261344,0.494926453,0.296225101
1921,48,Washington,0.126951277,0.389955461,0.528469026,0.291023403
1921,49,West Virginia,0.125096306,0.359123856,0.492844641,0.319542617
1921,50,Wisconsin,0.157381102,0.413425744,0.589351237,0.385880888
1921,51,Wyoming,0.094479971,0.31101802,0.41041562,0.219347507
1922,0,United States,0.18876186,0.440118968,0.627628982,0.552197576
1922,1,Alabama,0.132311776,0.374481022,0.526354313,0.335180342
1922,3,Arizona,0.100916401,0.327834427,0.450519055,0.233268857
1922,4,Arkansas,0.14462018,0.39271903,0.550322354,0.36063844
1922,5,California,0.161574557,0.41126132,0.587033689,0.434255391
1922,6,Colorado,0.168493852,0.410469562,0.571519017,0.503328383
1922,7,Connecticut,0.180375576,0.437403649,0.626912475,0.49424094
1922,8,Delaware,0.159528315,0.391823947,0.563436031,0.468317062
1922,9,District of Columbia,0.164639667,0.411999583,0.592621922,0.467450708
1922,10,Florida,0.163611591,0.415551662,0.586091757,0.443814218
1922,11,Georgia,0.136640504,0.377958626,0.52045387,0.349822789
1922,13,Idaho,0.087445967,0.295364767,0.39482969,0.188237533
1922,14,Illinois,0.191463143,0.447446078,0.638926268,0.549302399
1922,15,Indiana,0.132944614,0.369434804,0.509582818,0.342783123
1922,16,Iowa,0.090316497,0.307837218,0.412256896,0.226808444
1922,17,Kansas,0.125923172,0.372367889,0.50810504,0.294622481
1922,18,Kentucky,0.15579696,0.412223518,0.582774103,0.395103604
1922,19,Louisiana,0.137294576,0.383274317,0.537804186,0.355189651
1922,20,Maine,0.163477674,0.410489857,0.585566342,0.469171733
1922,21,Maryland,0.184370294,0.449294686,0.640799344,0.500515103
1922,22,Massachusetts,0.229071498,0.49326387,0.712620616,0.658177257
1922,23,Michigan,0.192115813,0.429100662,0.608799517,0.650473595
1922,24,Minnesota,0.156714603,0.403665155,0.563743889,0.422611445
1922,25,Mississippi,0.14447014,0.393609434,0.541069508,0.364747167
1922,26,Missouri,0.1698028,0.422457755,0.606652439,0.456673533
1922,27,Montana,0.098703317,0.321901649,0.429498583,0.225680783
1922,28,Nebraska,0.123085089,0.365158975,0.498725325,0.294602841
1922,29,Nevada,0.081147648,0.30126217,0.414197952,0.174465626
1922,30,New Hampshire,0.159921065,0.408257723,0.572079062,0.418217182
1922,31,New Jersey,0.185113639,0.436514109,0.618659735,0.570972741
1922,32,New Mexico,0.096346751,0.322845101,0.439550638,0.222243354
1922,33,New York,0.252183467,0.512110293,0.756995738,0.788272083
1922,34,North Carolina,0.150618464,0.38496691,0.540219963,0.423184335
1922,35,North Dakota,0.091238871,0.316883802,0.429451615,0.196891636
1922,36,Ohio,0.173552603,0.420764506,0.602529466,0.501085758
1922,37,Oklahoma,0.170885846,0.421960473,0.593315184,0.484198838
1922,38,Oregon,0.149189025,0.386976957,0.53483361,0.396383673
1922,39,Pennsylvania,0.201394886,0.453250855,0.655204952,0.599113047
1922,40,Rhode Island,0.227208123,0.481873363,0.708669305,0.686700881
1922,41,South Carolina,0.123800471,0.363411844,0.493803382,0.300600111
1922,42,South Dakota,0.100342512,0.334992796,0.456893235,0.219198853
1922,43,Tennessee,0.154200986,0.405967236,0.57806021,0.403615057
1922,44,Texas,0.136142164,0.371356368,0.514039755,0.36736846
1922,45,Utah,0.11137034,0.335218221,0.464319676,0.275619805
1922,46,Vermont,0.167455018,0.421357363,0.595213354,0.461947501
1922,47,Virginia,0.140925586,0.384144604,0.541826367,0.365502685
1922,48,Washington,0.109601848,0.338341594,0.469388455,0.263737857
1922,49,West Virginia,0.151478916,0.394459277,0.54879719,0.395469129
1922,50,Wisconsin,0.162861615,0.412249833,0.583982885,0.42276454
1922,51,Wyoming,0.109510772,0.339329034,0.454711378,0.251077205
1923,0,United States,0.173317894,0.419221699,0.587453544,0.500120103
1923,1,Alabama,0.143008381,0.382722318,0.532097042,0.394433618
1923,3,Arizona,0.095860749,0.316791743,0.434889197,0.224318877
1923,4,Arkansas,0.137772426,0.37909165,0.527770698,0.350366265
1923,5,California,0.163626075,0.414620131,0.582433045,0.439742625
